Company,Job Title,Review Text,Positive/Negative
Best Buy,Inventory Specialist,"Flexible hours, you get to learn a lot of new things and the people around you are pretty nice, at least the location i worked at was. A lot of the benefits they advertised while recruiting were for full timer's and best buy is stingy with offering full time positions. Management is not organized and is poor at listening.'",TRUE
Best Buy,Geeksquad Agent,Lots of hands on experience. A lots of potential in moving up. If you want anything to change in the environment you really have to push for it and be persistent. A lot of higher ups believe their way is the best way.',TRUE
Best Buy,Sales Consultant,"Meet a lot of new people, learn new skills, good way to get out of comfort zone. Pay is low, managers are always out of work and changing.'",FALSE
Best Buy,Assistant Manager,Best buy empowers employees and really cares about their experience. Irregular schedule. Very high business goals.',TRUE
Best Buy,Sales Associate,"Not a bad employee discount. Impossible goals that are wired to make employees thirst-driven lying snakes, that makes you want to take a shower after every day at the job. Why we are taught and trained to be bad human beings in order to trick other people I don't know. Just because other retail stores do this (not all, but the majority) does not make it a good practice, and Best Buy should set themselves higher, but they are living in the past. The only reason customers will continue to shop at Best Buy is if employees are earnestly trying to help them and not trying to upsell. They will go to Amazon and other places instead because being at Best Buy is like akin to being at a car dealership. Adapt and change with the times.'",FALSE
Target,Sales Associate,Great people. Decent pay. Get employee discount. Long work days bc there's not much traffic. I wasn't here long enough to find anything truely wrong with the place',TRUE
Target,Cashier,Good pay for part-time and consistent breaks. Standing on your feet for 8 hour shifts.',TRUE
Target,Cashier,"They do huddle's during shifts which is nice sometimes. Very team oriented and there were many people to talk to in order to discuss any issues you were having. Very lenient with the hours you need to work. In the clothes department, the team lead almost never got anything done. They would spend more time checking on everyone else than actually doing their own work. If someone didn't show up then the employees who were there had to make up for the sections of the floor that weren't being covered and that wasn't fair at all. Advice to Mangement: Take the time to properly train employees and work more nights. Without the proper training employees feel overwhelmed and they don't want to stay. Very frustrating for employees to stay.'",FALSE
Target,Sales Associate,Good rewards for doing your job. Not enough hours for consistent pay.',FALSE
Target,N/A,"You can make some great connections with co-workers. Great FMLA benefits though for managers (at least). I felt supported during my leave and welcomed back after my child was born. Your training videos and what you are taught about the culture is watered down by the time it reaches the store level. Oh yeah and don't get caught being a woman, you'll make less than your male counterparts :/ Why do managers play favorites and bully? Life's tough enough and we spend so much time at work; can't you make it a nice experience?'",FALSE
IBM,Data Analyst,"Good infrastructure & powerful tools developed for use.  No projects provided on Machine learning, Data Mining, Statistical modelling and low pay.'",FALSE
IBM,Associate System Engineer,"flexible, *yet based on project. can avail too many learnings and certifications. payscale is not up to range for it's brand no encashment of paid leaves at year end prolonging the band progressions rather than on time (almost 2 yrs after reaching criteria ), 3 months Notice period. Management should work to revise the payscale structure and benefits'",TRUE
IBM,Solution Manager,Opportunity to work for Global IT leader. Doesn’t value employees and is constantly trying to find ways to offshore your job',FALSE
IBM,Application Developer,"1. Flexible office hours
2. Less Pressure
1. Nothing to learn new
2. Very poor pay
3. No perks, appreciations, bonus etc.
Increase the payment, perks, bonus, and appreciation of good work by the employees.'",TRUE
IBM,N/A,"Work Life balance, Good Pay, Not a good company for people coming on H1B, they simply don't process GC even if you give 1 decade to them. Monolithic It service Giant but wastage on unnecessary process. Must try to be more agile for the management.'",FALSE
AT&T,N/A,"Cooperation between areas
Easy access to higher management
Openness to process changes
Recognition
Not so easy to be promoted or move to different positions
Formal training isn’t always provided to new hires
Sometimes sales is not aligned with operations'",TRUE
AT&T,Senior Solutions Architect,"Flexible work arrangements, highly supportive colleagues, decent work/life balance. There are still some in Senior Management who believe that an employee needs to be in Texas to advance his or her career. Technology is what made AT&T great. More focus and investment into core technology to deliver services better faster and cheaper than anyone else will lead to continued long term success. Investing in content is a gamble.'",TRUE
AT&T,Vendor Management,Tremendous growth opportunity if you're in the right place. It is easy to get lost in the shuffle of reorgs. Trying to keep ahead of the surplus and manage career growth is difficult. Management should Figure out a way to not surplus high performing leaders. You are letting talent get away from you.',TRUE
AT&T,Intern,"Great environment, awesome people and lots of fun networking opportunities'",TRUE
AT&T,Senior Data Analyst,"Flexible work environment, large amounts of training resources and support, entering a new era as it develops into a data and media company. Lots of upheaval to the status quo as the company transforms itself.'",TRUE
The Home Depot,Senior Software Engineer,"Extreme programming shop.
Strong company culture focused on its employees and community.
Doing really cool things in supply chain, lots of opportunities to contribute to a bleeding edge technology solution. Low salaries.
Raises low and applied across a competitive scale. There will be a winner and a loser.
To much focus on moving up the management chain. Management should Pay competitive salaries to your engineers.
Allow everyone on a team to succeed with raises.
Reward engineers for improving in place don’t force them to promote.
Be more like a startup.",TRUE
The Home Depot,Supervisor,Good experience overall; better if you play politics game. You make less management decisions than you may like. Basically used as a baby sitter',TRUE
The Home Depot,Garden Deptarment,"Good pay, decent hours, fun environment. Ignorant customers, parking lot crowds, retention in other departments'",TRUE
The Home Depot,Order Puller,"Keeps you on your feet, friendly coworkers, lots of room to move up, great chance to practice customer service skills. Very demanding, they will more than likely add responsibilities on to your expected responsibilities without compensation, very slow to promote low level employees.'",TRUE
The Home Depot,Freight Supervisor,Great benefits and good promotion potential. Don't pay their entry level people much',TRUE
Walmart,Photo Lab,"Lots of opportunities, advancement. They will over work you with little compensation. 5 to 25 cent raises yearly. Management should pay better and they could keep good help.'",FALSE
Walmart,Manager,"Get to demonstrate leadership qualities. Less pay, lot of physical work'",TRUE
Walmart,Cashier,Good job with benefits. Managers will give you there best to work with you if needed. I'm',TRUE
Walmart,Assistant Manager,Good pay for a starting off position. Great stock & 401k plans. Good upper management to assist. Just continue ensuring that associates are taken care off.',TRUE
Walmart,Pharmacy,"Good company overall, good benefits, good pay. Coworkers and customers have bad attitudes. Your job depends on their mood. Flexible scheduling is only available for those not wanting more than 15 hrs a week'",FALSE
Macy's,Sales Management,"- Supervisors who care about your success
- Close team interactions
- Growth opportunities
- Value engagement and collaboration
- Rewards for sales performance
- Not enough emphasis on the connection to everyday sales goals and overall company success'",TRUE
Macy's,Signing Lead,Customer satisfaction. Safe work environment. Work related stress. Family time lost. Mangement should recognize good employees.',TRUE
Macy's,N/A,Such a nice bunch of positive people who really make everyone feel like part of the team! Long hours and dealing with the public but this is retail.',TRUE
Macy's,N/A,Management and team members were accommodating. I was never given a consistent schedule and was told to pick up shifts. Management should work on scheduling system.',TRUE
Macy's,Sales Associate,Flexible schedule. Pick up shifts as much as you can since you won't be scheduled often. Not enough hours. Go backs.',TRUE
Microsoft,Software Engineer,"Great colleagues
Awesome benefits
Stable company
Impact millions of customers
Great company on the resume
Work can slow down depending on your group. Some teams have boring work
Career growth is slow at times'",TRUE
Microsoft,Senior Technical Program Manager,"Tons of opportunities to learn. Sometimes culture is too self centered. Management should be aggressive, take on more challenges.'",TRUE
Microsoft,N/A,Being a part-time remote consultant at Microsoft provides a lot of flexibility. They have been outsourcing consultant work to other countries so there are not many opportunities now. Need to stop outsourcing.',TRUE
Microsoft,N/A,"great benefits, lots of smart people, opportunities to move around a lot. huge amount of politics, big corporation - people end up doing the same job, way too many VP temper tantrums'",TRUE
Microsoft,Consultant,Great place to work ... exposure to technology. Timings are is too flexible',TRUE
Deloitte,Project Manager,Dynamic and progressive firm with good benefits. Always improving how and what they do so you learn a lot. Training programs are great and plentiful. Can be hard to balance work/life at times. Ever increasing work load and not staffing up fast enough is common. Project/client teams can be very demanding and expect 24/7 responses. Management should establish better guidelines for project team to limit night/weekend demands.',TRUE
Deloitte,Intern,"awesome culture and people, definitely a work hard play hard environment'",TRUE
Deloitte,N/A,Competitive Salary in comparison with other company. Long working hours and no work life balance.',FALSE
Deloitte,N/A,"good company overall. good opporunities. bad work life balance, politcs, management.'",TRUE
Deloitte,N/A,"Good Hike, Good pay, worklife balance.
- too many calls/meetings
- Cafeteria could be better'",TRUE
Amazon,Contractor,great team environment. enough work to keep you busy so you're not clock watching. decent pay. i enjoyed my overall experience at amazon. they should hire better quality techs',TRUE
Amazon,Intern,It's lit I liked the money. Too much work and projects',TRUE
Amazon,Warehouse Associate,"Great medical benefits, monthly bonuses, stock incentive, casual work environment, diverse people. Pretty cool place to work, freebies for performers. And did I mention the cool people! 3 day weekends, overtime available.. easy interview process. Pass the screening online and if you're asked to come for and interview you got the job as long as you pass the mouth swab drug test and background check. Regarding background just be honest on in your app, they are pretty flexible. Someone will call you to verify and then you're good! Pay could be higher. Long work days- sometimes 10-12 hours, average day 10 hrs. Depending on department- sometimes it's very boring and repetitive or very exhausting and very physical. Still worth it. Management needs to increase pay, reward top performers with individual productivity bonuses instead of blanket site productivity (VCP).'
",TRUE
Amazon,N/A,"Managers are great, their operation is great, facility is great, pay is 13.85. Workload is heavy... It's not for everyone. Management should do physical tests during the hiring process and be able to inform a potential employee if the workload would be too much for them.'",TRUE
Amazon,N/A,"Great work place, great culture. Sometimes hectic, which is natural as its a growing business'",TRUE
Bank of America,N/A,"opportunity for advancement, lot of business opportunity, great management. micromanagement , difficult market and clientele'",FALSE
Bank of America,Bank Teller,"Customer facing interactions
Busy atmosphere
Team-oriented environment
Push to sell unrealistic banking solutions
Micromanaging
No commission for passing leads off to personal bankers'",TRUE
Bank of America,Senior Product Manager,"Experience working across lines of business in a matrix environment, global company experience. Unreasonable work/life balance, the epitome of the ""good ole boy"" network, extreme lack of diversity at mid level management and even more scarce at the senior and c-suite levels. Management needs to Value employees for their diverse talent and perspectives. Too many senior leaders set in thinking one way, because they've been at the bank for 15+ years. Minority employees are leaving at an alarming rate, due to the disparate treatment from leadership. The bank needs to take a hard look at their talent pipeline and recruiting strategy, or else they will continue losing amazing talent to competitors who treat their employees better. Bank of America purports that they're serious about Diversity & Inclusion, but only to give the public that impression and only focuses on one diversity factor: women. There are so many more facets of diversity and they need to be considered. I would not recommend leadership continuing this trend if BAC wants to remain competitive in our ever-diversifying economy.
'",FALSE
Bank of America,Business Solutions Consultant,"Good Pay and Multiple Benefit choices. Under constant downsizing effort. You never know when the ax will fall but it falls for everyone eventually. Management needs to go back to the days where the best talent is retained regardless of location, salary, and years of service. Constantly cutting and replacing with new, cheaper talent isn't the best way to get the work done efficiently.'",FALSE
Bank of America,Financial Center Operations Manager,"Now that I have interviewed at other companies (Banks) I actually have no pros. Vacation time is based on years at BOA and many other Banks offer PTO which starts at no less than 4 weeks a year.
Bonuses are paid if you are working diligently toward your goal & not making it. Yearly review raises. Work, life balance is actually a priority not just talked about. When down sizing a position, they did it by Center not by capability. Managers should know how to do what you expect your staff to do in order for them to grow. Understand they are people not just robots'",FALSE
Wells Fargo,Business Process Analyst,Career Longevity and excellence community awareness. Micro Managers and unrealistic expectations with horrible people skills. They should learn to invest in their employees.',TRUE
Wells Fargo,Business Communications Associate,"Wonderful team atmosphere, unlimited opportunities on current team or new team, challenging, management is great and nurtures talent, mentor opps are good, barriers between team and partner teams are nonexistent. No flexibility, weak benefits for new employees, unable to work from home, executive leaders work at painstakingly slow speeds to sign off on advancements, at the time of publishing this review: it’s hard to respect this company as an employee due to settlements, cell phone service is next to none. They should act quicker, become more flexible, develop other ways to reward employees since you cannot change the PTO/benefits package.'",TRUE
Wells Fargo,Online Business Customer Service Representative,"Excellent cafeteria and overall facility. Made coming to work quite enjoyable. No room to move up within the company unless you're consistently meeting expectations for 3 months or more. Rather than micro managing, management should allow employees the opportunity to explore the multiple positions available.'",TRUE
Wells Fargo,Intern,"Easy work, significant time for browsing the internet. Superficial, focused on appearances as opposed to quality.'",FALSE
Wells Fargo,N/A,"great culture, nice co-workers, diversity, and flexibility. have a hard time attracting talent because of consumer banking scandal'",TRUE
